U.S. Trade Balance - Historical Data,,
Year,Billions of US $,% of GDP
2018,$-638.21B,-3.10%
2017,$-575.34B,-2.95%
2016,$-518.81B,-2.77%
2015,$-519.85B,-2.85%
2014,$-507.66B,-2.90%
2013,$-490.78B,-2.92%
2012,$-568.57B,-3.51%
2011,$-579.46B,-3.73%
2010,$-513.90B,-3.43%
2009,$-396.45B,-2.74%
2008,$-723.09B,-4.91%
2007,$-718.43B,-4.97%
2006,$-770.93B,-5.58%
2005,$-721.19B,-5.53%
2004,$-619.08B,-5.07%
2003,$-503.13B,-4.39%
2002,$-425.40B,-3.89%
2001,$-367.93B,-3.48%
2000,$-375.05B,-3.66%
1999,$-255.83B,-2.66%
1998,$-162.71B,-1.80%
1997,$-101.97B,-1.19%
1996,$-96.38B,-1.19%
1995,$-89.76B,-1.17%
1994,$-92.49B,-1.27%
1993,$-65.17B,-0.95%
1992,$-34.74B,-0.53%
1991,$-28.61B,-0.46%
1990,$-77.85B,-1.31%
1989,$-86.74B,-1.54%
1988,$-109.39B,-2.09%
1987,$-144.77B,-2.98%
1986,$-131.87B,-2.88%
1985,$-114.02B,-2.63%
1984,$-102.73B,-2.54%
1983,$-51.64B,-1.42%
1982,$-19.97B,-0.60%
1981,$-12.52B,-0.39%
1980,$-13.06B,-0.46%
1979,$-22.54B,-0.86%
1978,$-25.37B,-1.08%
1977,$-23.09B,-1.11%
1976,$-1.63B,-0.09%
1975,$15.98B,0.95%
1974,$-0.82B,-0.05%
1973,$4.11B,0.29%
1972,$-3.37B,-0.26%
1971,$0.62B,0.05%
1970,$3.95B,0.37%
