U.S. Trade Balance - Historical Data,,
Year,Billions of US $,% of GDP
2018,$-638.21B,-3.10%
2017,$-575.34B,-2.95%
2016,$-518.81B,-2.77%
2015,$-519.85B,-2.85%
2014,$-507.66B,-2.90%
2013,$-490.78B,-2.92%
2012,$-568.57B,-3.51%
2011,$-579.46B,-3.73%
2010,$-513.90B,-3.43%
2009,$-396.45B,-2.74%
2008,$-723.09B,-4.91%
2007,$-718.43B,-4.97%
2006,$-770.93B,-5.58%
2005,$-721.19B,-5.53%
2004,$-619.08B,-5.07%
2003,$-503.13B,-4.39%
2002,$-425.40B,-3.89%
2001,$-367.93B,-3.48%
2000,$-375.05B,-3.66%
1999,$-255.83B,-2.66%
1998,$-162.71B,-1.80%
1997,$-101.97B,-1.19%
1996,$-96.38B,-1.19%
1995,$-89.76B,-1.17%
1994,$-92.49B,-1.27%
1993,$-65.17B,-0.95%
