Year,Average Closing Price
1/1/2020,"26,324.09"
1/1/2019,"26,379.55"
1/1/2018,"25,046.86"
1/1/2017,"21,750.20"
1/1/2016,"17,927.11"
1/1/2015,"17,587.03"
1/1/2014,"16,777.69"
1/1/2013,"15,009.52"
1/1/2012,"12,966.44"
1/1/2011,"11,957.57"
1/1/2010,"10,668.58"
1/1/2009,"8,885.65"
1/1/2008,"11,244.06"
1/1/2007,"13,178.26"
1/1/2006,"11,409.78"
1/1/2005,"10,546.66"
1/1/2004,"10,315.51"
1/1/2003,"9,006.64"
1/1/2002,"9,214.85"
1/1/2001,"10,199.29"
1/1/2000,"10,729.38"
1/1/1999,"10,481.56"
1/1/1998,"8,630.76"
1/1/1997,"7,447.01"
1/1/1996,"5,739.63"
1/1/1995,"4,494.28"
1/1/1994,"3,794.22"
1/1/1993,"3,524.92"
1/1/1992,"3,284.08"
1/1/1991,"2,929.04"
1/1/1990,"2,679.45"
1/1/1989,"2,510.33"
1/1/1988,"2,061.48"
1/1/1987,"2,277.53"
1/1/1986,"1,793.10"
1/1/1985,"1,327.99"
1/1/1984,"1,178.59"
1/1/1983,"1,190.78"
1/1/1982,884.53
1/1/1981,932.95
