Date,Value
26-Oct-20,"3,400.97"
1-Oct-20,"3,374.70"
1-Sep-20,"3,365.52"
1-Aug-20,"3,391.71"
1-Jul-20,"3,217.73"
1-Jun-20,"3,130.20"
1-May-20,"2,959.74"
1-Apr-20,"2,799.99"
1-Mar-20,"2,670.92"
1-Feb-20,"3,293.02"
1-Jan-20,"3,302.94"
1-Dec-19,"3,213.14"
1-Nov-19,"3,137.62"
1-Oct-19,"3,007.44"
1-Sep-19,"3,018.85"
1-Aug-19,"2,935.45"
1-Jul-19,"3,035.20"
1-Jun-19,"2,932.76"
1-May-19,"2,897.36"
1-Apr-19,"2,953.46"
1-Mar-19,"2,867.03"
1-Feb-19,"2,832.70"
1-Jan-19,"2,692.39"
1-Dec-18,"2,656.06"
1-Nov-18,"2,808.37"
1-Oct-18,"2,862.93"
1-Sep-18,"2,987.46"
1-Aug-18,"2,945.91"
1-Jul-18,"2,881.35"
1-Jun-18,"2,841.02"
1-May-18,"2,790.94"
1-Apr-18,"2,752.89"
1-Mar-18,"2,815.02"
1-Feb-18,"2,823.88"
1-Jan-18,"2,925.44"
1-Dec-17,"2,809.10"
1-Nov-17,"2,732.92"
1-Oct-17,"2,694.41"
1-Sep-17,"2,625.14"
1-Aug-17,"2,600.27"
1-Jul-17,"2,605.81"
1-Jun-17,"2,582.67"
1-May-17,"2,543.97"
1-Apr-17,"2,507.84"
1-Mar-17,"2,523.28"
1-Feb-17,"2,485.95"
1-Jan-17,"2,435.13"
1-Dec-16,"2,418.65"
1-Nov-16,"2,331.52"
1-Oct-16,"2,304.27"
1-Sep-16,"2,322.94"
1-Aug-16,"2,342.83"
1-Jul-16,"2,321.17"
1-Jun-16,"2,247.30"
1-May-16,"2,234.84"
1-Apr-16,"2,254.74"
1-Mar-16,"2,206.93"
1-Feb-16,"2,087.60"
1-Jan-16,"2,104.88"
1-Dec-15,"2,257.23"
1-Nov-15,"2,278.59"
1-Oct-15,"2,212.79"
1-Sep-15,"2,123.97"
1-Aug-15,"2,224.77"
1-Jul-15,"2,280.73"
1-Jun-15,"2,286.49"
1-May-15,"2,308.32"
1-Apr-15,"2,301.33"
1-Mar-15,"2,289.64"
1-Feb-15,"2,305.71"
1-Jan-15,"2,255.65"
1-Dec-14,"2,273.91"
1-Nov-14,"2,250.34"
1-Oct-14,"2,120.73"
1-Sep-14,"2,176.51"
1-Aug-14,"2,143.51"
1-Jul-14,"2,152.55"
1-Jun-14,"2,123.34"
1-May-14,"2,064.67"
1-Apr-14,"2,043.91"
1-Mar-14,"2,049.84"
1-Feb-14,"2,011.58"
1-Jan-14,"2,024.93"
1-Dec-13,"2,016.20"
1-Nov-13,"1,989.00"
1-Oct-13,"1,914.26"
1-Sep-13,"1,872.85"
1-Aug-13,"1,856.05"
1-Jul-13,"1,856.71"
1-Jun-13,"1,801.89"
1-May-13,"1,829.72"
1-Apr-13,"1,755.69"
1-Mar-13,"1,731.68"
1-Feb-13,"1,693.08"
1-Jan-13,"1,670.93"
1-Dec-12,"1,610.09"
1-Nov-12,"1,574.39"
1-Oct-12,"1,615.60"
1-Sep-12,"1,621.26"
1-Aug-12,"1,583.40"
1-Jul-12,"1,542.67"
1-Jun-12,"1,499.04"
1-May-12,"1,516.96"
1-Apr-12,"1,566.20"
1-Mar-12,"1,574.11"
1-Feb-12,"1,544.11"
1-Jan-12,"1,491.38"
1-Dec-11,"1,432.00"
1-Nov-11,"1,409.05"
1-Oct-11,"1,385.82"
1-Sep-11,"1,344.77"
1-Aug-11,"1,359.92"
1-Jul-11,"1,524.60"
1-Jun-11,"1,482.31"
1-May-11,"1,539.41"
1-Apr-11,"1,538.79"
1-Mar-11,"1,517.27"
1-Feb-11,"1,551.60"
1-Jan-11,"1,513.81"
1-Dec-10,"1,472.29"
1-Nov-10,"1,424.17"
1-Oct-10,"1,392.32"
1-Sep-10,"1,335.15"
1-Aug-10,"1,294.49"
1-Jul-10,"1,287.36"
1-Jun-10,"1,291.88"
1-May-10,"1,340.30"
1-Apr-10,"1,427.49"
1-Mar-10,"1,375.90"
1-Feb-10,"1,306.13"
1-Jan-10,"1,347.74"
1-Dec-09,"1,336.46"
1-Nov-09,"1,307.30"
1-Oct-09,"1,283.69"
1-Sep-09,"1,257.11"
1-Aug-09,"1,215.97"
1-Jul-09,"1,129.49"
1-Jun-09,"1,116.01"
1-May-09,"1,096.78"
1-Apr-09,"1,033.81"
1-Mar-09,925.17
1-Feb-09,986.34
1-Jan-09,"1,065.53"
1-Dec-08,"1,084.98"
1-Nov-08,"1,080.47"
1-Oct-08,"1,162.70"
1-Sep-08,"1,445.76"
1-Aug-08,"1,520.30"
1-Jul-08,"1,485.71"
1-Jun-08,"1,593.20"
1-May-08,"1,683.60"
1-Apr-08,"1,658.15"
1-Mar-08,"1,603.05"
1-Feb-08,"1,663.52"
1-Jan-08,"1,697.77"
1-Dec-07,"1,830.52"
1-Nov-07,"1,809.72"
1-Oct-07,"1,915.35"
1-Sep-07,"1,866.41"
1-Aug-07,"1,818.43"
1-Jul-07,"1,897.56"
1-Jun-07,"1,888.94"
1-May-07,"1,888.79"
1-Apr-07,"1,840.60"
1-Mar-07,"1,780.80"
1-Feb-07,"1,845.36"
1-Jan-07,"1,828.73"
1-Dec-06,"1,824.35"
1-Nov-06,"1,791.23"
1-Oct-06,"1,756.03"
1-Sep-06,"1,688.05"
1-Aug-06,"1,640.77"
1-Jul-06,"1,609.63"
1-Jun-06,"1,605.33"
1-May-06,"1,655.79"
1-Apr-06,"1,679.69"
1-Mar-06,"1,683.01"
1-Feb-06,"1,669.98"
1-Jan-06,"1,676.07"
1-Dec-05,"1,666.84"
1-Nov-05,"1,627.60"
1-Oct-05,"1,555.28"
1-Sep-05,"1,602.81"
1-Aug-05,"1,620.21"
1-Jul-05,"1,625.80"
1-Jun-05,"1,606.61"
1-May-05,"1,575.39"
1-Apr-05,"1,555.27"
1-Mar-05,"1,606.70"
1-Feb-05,"1,625.68"
1-Jan-05,"1,610.22"
1-Dec-04,"1,637.92"
1-Nov-04,"1,590.73"
